"filename", "language", "TypeScript", "HTML", "SCSS", "comment", "blank", "total"
"/Users/tli/workspace/cyberbook/cyberbook/src/app/app-routing.module.ts", "TypeScript", 55, 0, 0, 3, 4, 62
"/Users/tli/workspace/cyberbook/cyberbook/src/app/app.component.html", "HTML", 0, 30, 0, 0, 6, 36
"/Users/tli/workspace/cyberbook/cyberbook/src/app/app.component.scss", "SCSS", 0, 0, 94, 0, 13, 107
"/Users/tli/workspace/cyberbook/cyberbook/src/app/app.component.spec.ts", "TypeScript", 31, 0, 0, 0, 5, 36
"/Users/tli/workspace/cyberbook/cyberbook/src/app/app.component.ts", "TypeScript", 95, 0, 0, 0, 16, 111
"/Users/tli/workspace/cyberbook/cyberbook/src/app/app.module.ts", "TypeScript", 35, 0, 0, 0, 2, 37
"/Users/tli/workspace/cyberbook/cyberbook/src/app/book/book-routing.module.ts", "TypeScript", 17, 0, 0, 0, 3, 20
"/Users/tli/workspace/cyberbook/cyberbook/src/app/book/book.module.ts", "TypeScript", 29, 0, 0, 0, 2, 31
"/Users/tli/workspace/cyberbook/cyberbook/src/app/book/components/book-header/book-header.component.html", "HTML", 0, 51, 0, 0, 11, 62
"/Users/tli/workspace/cyberbook/cyberbook/src/app/book/components/book-header/book-header.component.scss", "SCSS", 0, 0, 51, 38, 13, 102
"/Users/tli/workspace/cyberbook/cyberbook/src/app/book/components/book-header/book-header.component.scss-theme.scss", "SCSS", 0, 0, 19, 0, 6, 25
"/Users/tli/workspace/cyberbook/cyberbook/src/app/book/components/book-header/book-header.component.spec.ts", "TypeScript", 20, 0, 0, 0, 6, 26
"/Users/tli/workspace/cyberbook/cyberbook/src/app/book/components/book-header/book-header.component.ts", "TypeScript", 68, 0, 0, 11, 14, 93
"/Users/tli/workspace/cyberbook/cyberbook/src/app/book/components/book-home/book-home.component.html", "HTML", 0, 10, 0, 0, 5, 15
"/Users/tli/workspace/cyberbook/cyberbook/src/app/book/components/book-home/book-home.component.scss", "SCSS", 0, 0, 25, 0, 3, 28
"/Users/tli/workspace/cyberbook/cyberbook/src/app/book/components/book-home/book-home.component.scss-theme.scss", "SCSS", 0, 0, 9, 0, 3, 12
"/Users/tli/workspace/cyberbook/cyberbook/src/app/book/components/book-home/book-home.component.spec.ts", "TypeScript", 20, 0, 0, 0, 6, 26
"/Users/tli/workspace/cyberbook/cyberbook/src/app/book/components/book-home/book-home.component.ts", "TypeScript", 45, 0, 0, 1, 9, 55
"/Users/tli/workspace/cyberbook/cyberbook/src/app/book/components/date-divider/date-divider.component.html", "HTML", 0, 15, 0, 0, 1, 16
"/Users/tli/workspace/cyberbook/cyberbook/src/app/book/components/date-divider/date-divider.component.scss", "SCSS", 0, 0, 22, 0, 6, 28
"/Users/tli/workspace/cyberbook/cyberbook/src/app/book/components/date-divider/date-divider.component.scss-theme.scss", "SCSS", 0, 0, 11, 0, 4, 15
"/Users/tli/workspace/cyberbook/cyberbook/src/app/book/components/date-divider/date-divider.component.spec.ts", "TypeScript", 20, 0, 0, 0, 6, 26
"/Users/tli/workspace/cyberbook/cyberbook/src/app/book/components/date-divider/date-divider.component.ts", "TypeScript", 36, 0, 0, 0, 11, 47
"/Users/tli/workspace/cyberbook/cyberbook/src/app/book/components/transaction-item/transaction-item.component.html", "HTML", 0, 25, 0, 0, 1, 26
